Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
HIST,4EME,novice,TR,6.112462727,5.368054331,5.744720807,5.897034067,9.5,3.5,6.0,0.007200111,,,43,APOL4A
HIST,4EME,novice,TR,5.531780264,4.915486896,5.253123471,5.4173521,4.0,1.5,4.0,0.011166229,,,39,ARI4B
HIST,4EME,novice,TR,5.765698351,4.909962322,5.378707611,5.505755532,3.0,0.0,2.0,0.0,,,40,armatru
HIST,4EME,novice,TR,5.548754146,5.201055564,4.893040112,5.374830799,6.5,2.5,3.5,0.025585263,,,33,armel4c
HIST,4EME,novice,TR,5.871661362,5.441744609,5.465883786,5.755011886,7.0,1.5,5.0,0.006841419,,,44,BENJI4C
HIST,4EME,novice,TR,5.994705072,5.339182036,5.648191628,5.821639279,8.0,2.0,4.0,0.002248062,,,40,BOC4C
HIST,4EME,novice,TR,5.784866103,4.898747115,5.038640029,5.27533209,3.0,1.0,3.0,0.018297425,,,39,CAM4A
HIST,4EME,novice,TR,5.711327554,5.069917726,4.43807537,5.161032418,2.5,0.5,1.5,0.07293813,,,41,celine4
HIST,4EME,novice,TR,5.37560418,4.457851631,4.839540893,4.990374378,2.0,0.0,1.5,0.0,,,44,Elsaa4a
HIST,4EME,novice,TR,4.785984343,3.616528025,3.556121507,3.888404168,1.0,0.0,1.0,0.555787134,,,38,emilie2
HIST,4EME,novice,TR,5.562782211,5.238456355,5.025230062,5.445829853,6.5,2.5,4.0,0.018871218,,,39,EMMA24C
HIST,4EME,novice,TR,5.357858648,4.260476858,4.834722634,4.937339825,1.5,0.0,1.0,0.029262226,,,45,JULIEN4
HIST,4EME,novice,TR,5.720702865,4.602927713,4.381322698,4.807139112,1.5,0.0,1.5,0.0,,,43,LAHCUPE
HIST,4EME,novice,TR,5.894036229,5.243729887,5.38148421,5.619076105,8.0,3.0,7.0,0.0,,,38,LOU4C
HIST,4EME,novice,TR,5.675163114,4.863019343,5.113368367,5.307018694,3.0,1.0,3.0,0.015404997,,,41,nina4b
HIST,4EME,novice,TR,5.743486638,5.073643213,5.518286863,5.65157552,11.0,5.0,6.0,0.006063776,,,35,SAM4C
HIST,4EME,novice,TR,6.085467721,5.677796231,5.746732254,6.014660591,13.0,4.5,9.0,0.00358342,,,45,VIRG4C
HIST,3EME,expert,TR,5.73000906,4.684288677,5.577614143,5.629862518,4.5,0.5,4.5,0.005289515,,,19,ALE3A
HIST,3EME,expert,TR,5.482362558,4.948992128,4.880175969,5.216975654,4.5,1.5,2.0,0.026354454,,,45,ALI3C
HIST,3EME,expert,TR,5.588317656,5.236057106,5.076421967,5.464563315,7.0,3.5,3.0,0.03354579,,,33,ANAEL3A
HIST,3EME,expert,TR,5.714284483,5.039743186,4.628547291,5.182124931,7.0,3.0,3.5,0.047041667,,,45,Anna3B
HIST,3EME,expert,TR,5.372056373,4.366759055,5.166433074,5.230369719,2.5,0.5,1.5,0.013633172,,,45,CHLOE23
HIST,3EME,expert,TR,5.415877743,4.746859849,5.087167152,5.250556613,2.5,0.5,1.5,0.032725993,,,39,EMM23A
HIST,3EME,expert,TR,5.495259108,4.88420609,4.648213595,5.083075999,2.0,0.0,1.5,0.044958975,,,49,FAT23C
HIST,3EME,expert,TR,5.521121732,4.455461577,4.977741891,5.091823416,3.5,1.0,1.5,0.021051745,,,49,LIS3B
HIST,3EME,expert,TR,6.110426567,5.601491236,5.848812083,6.043554229,10.5,5.0,5.5,0.005665626,,,44,LUC3A
HIST,3EME,expert,TR,5.290291771,4.727813622,4.954039791,5.156523408,3.5,1.0,2.5,0.022232597,,,41,MAE23A
HIST,3EME,expert,TR,5.511242806,3.95017006,4.74868408,4.812779707,2.0,0.0,1.0,0.035673516,,,40,MAR3B
HIST,3EME,expert,TR,5.307245658,3.490800952,4.923536732,4.939282073,1.0,0.0,1.0,0.0,,,42,MAT3B
HIST,3EME,expert,TR,5.435853122,4.727451786,4.687738478,5.009078909,2.0,0.5,1.5,0.041047954,,,37,MATT3B
